Borough,Neighborhood,Latitude,Longitude,Postal Code
North York,Parkwoods,43.7532586,-79.3296565,M3A
North York,Victoria Village,43.725882299999995,-79.31557159999998,M4A
Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,M5A
North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,M6A
Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,M7A
Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.53224240000002,M9A
Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,M1B
North York,Don Mills,43.745905799999996,-79.352188,M3B
East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,M4B
Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,M5B
North York,Glencairn,43.709577,-79.44507259999999,M6B
Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,M9B
Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,M1C
North York,Don Mills,43.72589970000001,-79.340923,M3C
East York,Woodbine Heights,43.695343900000005,-79.3183887,M4C
Downtown Toronto,St. James Town,43.6514939,-79.3754179,M5C
York,Humewood-Cedarvale,43.6937813,-79.42819140000002,M6C
Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,M9C
Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,M1E
East Toronto,The Beaches,43.67635739999999,-79.2930312,M4E
Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,M5E
York,Caledonia-Fairbanks,43.6890256,-79.453512,M6E
Scarborough,Woburn,43.7709921,-79.21691740000001,M1G
East York,Leaside,43.7090604,-79.3634517,M4G
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,M5G
Downtown Toronto,Christie,43.669542,-79.4225637,M6G
Scarborough,Cedarbrae,43.773136,-79.23947609999999,M1H
North York,Hillcrest Village,43.8037622,-79.3634517,M2H
North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,M3H
East York,Thorncliffe Park,43.7053689,-79.34937190000001,M4H
Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,M5H
West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,M6H
Scarborough,Scarborough Village,43.7447342,-79.23947609999999,M1J
North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,M2J
North York,"Northwood Park, York University",43.7679803,-79.48726190000001,M3J
